ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market,gap_days,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,pre_close
000708.SZ,2026-06-26,12.95,13.29,13.33,12.95,-0.0292353823088455,-0.032137518684604,-0.0428677014042867,-0.0279237351748986,-0.0457593397686242,0.0,-0.0893108298171589,0.0163727584284919,-0.0037481259370315,-0.0042576715766237,-0.0037357534504114,0.0024701899717674,0.0,中信特钢,特种钢,主板,1,False,False,False,,,,,,,12.95
000725.SZ,2026-06-26,7.79,7.5,8.24,7.36,0.035904255319149,0.1506646971935008,0.1893129770992367,0.0795454545454545,0.1678109915150061,0.7305389221556885,-0.0546116504854369,0.0346748199648706,-0.002659574468085,0.007925265830943,0.010079944976023,0.022576187351212,0.4,京东方Ａ,元器件,主板,1,False,False,False,,,,,,,7.79
000733.SZ,2026-06-26,58.33,60.28,60.58,57.58,-0.0422003284072249,0.0390096188101174,-0.0244187991302893,0.0005145797598626,0.0327549575070822,0.4410413476263397,-0.0588899645046788,0.0490821604380242,-0.0101806239737274,-0.0036912112430093,-0.0026701391370335,0.0072834339921911,0.4,振华科技,元器件,主板,1,False,False,False,,,,,,,58.33
000776.SZ,2026-06-26,22.35,23.02,23.52,22.22,-0.0341400172860846,-0.0415951972555745,0.0828488372093023,-0.0211964614171846,0.0222283205268936,0.5028089887640453,-0.0733830845771144,0.0539632509422001,-0.0051858254105445,-0.0054908137802893,0.0049167605792805,0.0157910096180641,0.4,广发证券,证券,主板,1,False,False,False,,,,,,,22.35
000768.SZ,2026-06-26,19.91,19.95,20.12,19.57,-0.0049975012493753,-0.0259295499021526,-0.0259295499021526,-0.0186317034700315,-0.0436620394831643,0.2193548387096772,-0.123293703214443,0.0200976729561977,-0.0029985007496252,-0.0042923309137142,-0.0030979659062752,0.0050255339313418,0.2,中航西飞,航空,主板,1,False,False,False,,,,,,,19.91
000786.SZ,2026-06-26,18.08,18.39,18.66,18.04,-0.017925040738729,-0.0295222758990875,-0.0831643002028398,-0.0284793121977432,-0.0771272523097341,0.0232558139534878,-0.1511737089201879,0.0168425134226201,-0.0010863661053774,-0.0010859729218432,-0.0012590113686315,0.0014719605528549,0.2,北新建材,其他建材,主板,1,False,False,False,,,,,,,18.08
000792.SZ,2026-06-26,28.91,29.97,30.51,28.88,-0.043665233212041,-0.0061876933654176,-0.028235294117647,-0.0380007986157328,-0.0544871794871796,0.2151515151515153,-0.1180597925564368,0.0564814384834918,-0.0086007277538868,-0.0077271640378952,-0.0129744919601716,0.0150951958784171,0.2,盐湖股份,农药化肥,主板,1,False,False,False,,,,,,,28.91
000807.SZ,2026-06-26,22.48,23.96,24.19,22.28,-0.0470538363713437,-0.0605933974091098,-0.0699213901530824,-0.0682251512890658,-0.1014469581901029,0.0527704485488124,-0.2194444444444444,0.0633335788008842,0.0156846121237812,-0.0039536878584542,-0.0075727744027335,0.0222372238658308,0.4,云铝股份,铝,主板,1,False,False,False,,,,,,,22.48
000800.SZ,2026-06-26,5.85,6.0,6.03,5.85,-0.0314569536423842,-0.0503246753246754,-0.0394088669950739,-0.0327380952380953,-0.0441176470588235,0.0,-0.0873634945397816,0.0164097914368842,-0.0066225165562914,0.0010294090817872,-0.0006933091248273,0.0063283128052547,0.2,一汽解放,汽车整车,主板,1,False,False,False,,,,,,,5.85
000858.SZ,2026-06-26,73.17,74.9,75.72,73.13,-0.0243999999999999,-0.0212680577849118,-0.0353328938694791,-0.0185900531144376,-0.0422774869109946,0.0498154981549809,-0.0957736035590707,0.0218122915268303,-0.0013333333333332,-0.0025622415558801,-0.0035052876097595,0.0013587823053543,0.0,五粮液,白酒,主板,1,False,False,False,,,,,,,73.17
