ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market
300124.SZ,2026-06-26,63.28,66.4,66.75,63.13,-0.053261520047875544,-0.05297815025441477,-0.11098623208766512,-0.04756170981336516,-0.06917905947075009,0.018137847642079628,-0.12548369264787174,0.023686098980809984,-0.006582884500299202,-0.0013328167247133038,-0.0024884297933501108,0.005240745551644579,0.4,汇川技术,电器仪表,创业板
300274.SZ,2026-06-26,151.05,154.01,159.98,150.4,-0.010546312066028962,-0.006249999999999978,0.027690842291468343,-0.024186983991627553,-0.0065441152290440785,0.11000552791597616,-0.09632067005683509,0.06683673244320976,0.008843180924931193,0.0038405031661008504,0.002723429182497106,0.010633311612551391,0.8,阳光电源,电气设备,创业板
300142.SZ,2026-06-26,11.67,12.2,12.37,11.66,-0.04734693877551022,-0.058491327148043504,-0.052375152253349544,-0.043756145526057,-0.029077748658430158,0.008658008658008478,-0.08934841982052277,0.02304403238407167,-0.004081632653061273,-0.0014759986399208724,-0.0033240381417271037,0.008762312593481503,0.2,沃森生物,生物制药,创业板
300223.SZ,2026-06-26,233.21,240.0,242.0,229.0,-0.0174839905628581,0.2021134020618558,0.2534802472453641,0.1051349609523089,0.23732617426875158,0.8587043883619998,-0.036322314049586746,0.08669254209050994,0.011122345803842304,0.0170807403778331,0.013394744312691276,0.019553969785579103,0.6,北京君正,半导体,创业板
300308.SZ,2026-06-26,1253.89,1296.0,1296.94,1235.13,-0.052523802327338664,-0.042839367638414894,-0.08333333333333337,-0.04745807004456215,-0.025566740157088486,0.10321870701513063,-0.11503444187228273,0.03267167619929913,-0.020704246637449075,-0.002474694792754787,0.00033369876399689245,0.011230325097469846,0.6,中际旭创,通信设备,创业板
000408.SZ,2026-06-26,68.05,70.78,70.95,67.89,-0.02924393723252494,-0.061379310344827576,-0.10952630201517932,-0.062181307020203413,-0.0975758540207936,0.01387684301821306,-0.18600478468899517,0.044992816674272344,0.009700427960057212,-0.009083589524274646,-0.008035205342280949,0.013174496609137354,0.2,藏格矿业,农药化肥,主板
300316.SZ,2026-06-26,58.37,55.91,59.27,55.47,0.03346317280453248,0.046057347670250826,0.0831323065503804,0.02399915792428331,0.07755358230722353,0.850993377483443,-0.015184747764467765,0.035514752752593574,-0.010092067988668574,-0.007291787814832936,0.0003143324305067585,0.021125168837537227,0.4,晶盛机电,专用机械,创业板
300347.SZ,2026-06-26,45.05,43.59,45.98,43.42,0.027131782945736482,0.0966407010710808,0.12288135593220328,0.04977396653772659,0.0895854496202777,0.871900826446281,-0.020226185297955612,0.021980284523725867,-0.006155950752393835,-0.005115196611102897,-0.0075939415541517175,0.011934435514546081,0.2,泰格医药,医疗保健,创业板
300394.SZ,2026-06-26,318.0,331.0,334.68,316.8,-0.07009386788314775,0.022310808204204946,-0.05525846702317294,-0.019988535714946076,-0.005958000162547994,0.3,-0.08092485549132944,0.055294358779731094,-0.03207883732491157,-0.018081920552117586,-0.010017304440599163,0.01438449502957432,0.2,天孚通信,通信设备,创业板
300442.SZ,2026-06-26,77.77,82.0,82.0,77.56,-0.06962555329584885,-0.054238112610969336,-0.08699225170227765,-0.0634408343168188,-0.04340766799099638,0.01807228915662596,-0.12794348508634235,0.04359558015031528,-0.019021414044742224,-0.006462081466209228,-0.005968033374393489,0.00800558107738983,0.2,润泽科技,软件服务,创业板
